mypaint-brushes1 1.3.1-1
nano 4.9.3-1
nasm 2.14.02-2
ncmpcpp 0.8.2-12
ncurses 6.2-1
ncurses5-compat-libs 6.1-1
neofetch 7.0.0-1
neovim 0.4.3-3
net-tools 1.60.20181103git-2
netctl 1.23-1
netpbm 10.73.31-3
nettle 3.6-1
network-manager-applet 1.16.0-1
networkmanager 1.24.2-1
newsboat 2.20-1
ninja 1.10.0-1
nix 2.3.1-2
nm-connection-editor 1.16.0-1
node-gyp 6.1.0-1
nodejs 14.4.0-1
nordvpn-bin 3.5.0_1-1
notmuch 0.29.3-2
notmuch-runtime 0.29.3-2
noto-fonts 20190926-4
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.53.1-1
ntp 4.2.8.p14-1
numactl 2.0.13-3
ocaml 4.10.0-1
ocaml-compiler-libs 4.10.0-1
ocamlbuild 0.14.0-7
oilshell 0.8.pre4-1
oniguruma 6.9.5_rev1-1
opam 2.0.7-2
openal 1.20.1-2
openblas 0.3.10-1
opencore-amr 0.1.5-4
opencv 4.3.0-7
openexr 2.5.2-1
openjade 1.3.2-6
openjpeg2 2.3.1-2
openlibm 0.7.0-1
openmp 10.0.0-1
openmpi 4.0.4-1
openresolv 3.10.0-1
opensp 1.5.2-9
openssh 8.3p1-1
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
opus 1.3.1-2
orc 0.4.31-2
org-protocol-emacsclient 0.1.0-1
osm-gps-map 1.1.0-4
otf-fira-code 4-1
p11-kit 0.23.20-5
pacman 5.2.1-6
pacman-contrib 1.3.0-2
pacman-mirrorlist 20200606-1
pacutils 0.10.0-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.30.3-1
perl-clone 0.45-1
perl-curses 1.36-7
perl-data-dump 1.23-5
perl-encode-locale 1.05-6
perl-error 0.17029-1
perl-file-listing 6.04-7
perl-file-which 1.23-3
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-io-html 1.001-6
perl-io-socket-ssl 2.067-1
perl-json 2.97001-2
perl-libwww 6.45-1
perl-log-message 0.08-5
perl-log-message-simple 0.10-5
perl-lwp-mediatypes 6.02-7
perl-lwp-protocol-https 6.07-4
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-net-ssleay 1.88-1
perl-sgmls 1:1.1-6
perl-term-readline-gnu 1.36-3
perl-term-ui 0.46-5
perl-text-charwidth 0.04-18
